Area,Payment,Ownership,Status,Bedrooms,Bathrooms,PrivateGarden,price
165,Cash,Resale,Ready,3,3,No,"EGP 7,000,000"
155,Cash,Resale,Ready,3,3,No,"EGP 5,800,000"
235,Cash,Resale,Ready,3,4,No,"EGP 8,000,000"
180,Cash,Resale,Ready,3,3,No,"EGP 7,000,000"
180,Cash,Resale,Ready,3,3,No,"EGP 6,800,000"
170,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
145,Cash,Resale,Ready,3,3,Yes,"EGP 8,800,000"
135,Cash,Resale,Ready,3,2,No,"EGP 7,700,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,200,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,200,000"
170,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
160,Cash,Resale,Ready,3,3,No,"EGP 5,900,000"
140,Installment,Resale,Ready,3,3,No,"EGP 8,960,960"
160,Cash,Resale,Ready,3,3,No,"EGP 6,800,000"
170,Cash,Resale,Ready,3,3,No,"EGP 6,090,000"
140,Installment,Resale,Ready,3,3,No,"EGP 9,730,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,250,000"
160,Cash,Resale,Ready,3,3,No,"EGP 10,000,000"
235,Cash,Resale,Ready,3,3,No,"EGP 8,000,000"
155,Cash or Installment,Primary,Ready,3,3,No,"EGP 7,000,000"
165,Cash,Resale,Ready,3,3,Yes,"EGP 7,770,000"
135,Installment,Resale,Ready,2,2,No,"EGP 4,900,000"
175,Cash,Resale,Ready,3,3,No,"EGP 7,250,000"
165,Installment,Resale,Ready,3,3,No,"EGP 7,042,000"
165,Cash,Resale,Ready,3,3,No,"EGP 6,200,000"
150,Cash,Primary,Ready,3,2,Yes,"EGP 10,580,000"
130,Cash,Resale,Ready,2,3,No,"EGP 5,800,000"
110,Installment,Resale,Off-plan,2,2,No,"EGP 7,300,000"
70,Installment,Resale,Ready,1,2,No,"EGP 5,250,000"
180,Installment,Resale,Off-plan,3,3,No,"EGP 6,672,740"
160,Cash,Resale,Ready,3,3,Yes,"EGP 7,300,000"
180,Cash,Resale,Ready,3,3,Yes,"EGP 6,800,000"
165,Installment,Resale,Off-plan,3,3,Yes,"EGP 6,927,940"
165,Installment,Resale,Off-plan,3,3,No,"EGP 6,930,000"
160,Cash,Resale,Ready,3,3,No,"EGP 6,500,000"
130,Cash,Resale,Ready,2,3,No,"EGP 5,800,000"
70,Installment,Resale,Ready,1,1,No,"EGP 5,750,000"
165,Installment,Resale,Off-plan,3,3,No,"EGP 6,180,000"
