Area,PrivateGarden,price,total_rooms,Payment_Cash or Installment,Payment_Installment,Ownership_Primary,Status_Off-plan
173.0,0,6200000.0,6.0,False,False,False,False
140.0,0,5450000.0,4.0,False,False,False,False
235.0,0,7900000.0,6.0,False,False,True,False
150.0,0,6974000.0,5.0,False,False,False,False
160.0,0,7000000.0,6.0,False,False,False,False
160.0,0,16479047.0,6.0,False,True,True,False
165.0,0,6850000.0,6.0,False,False,False,False
135.0,0,5410000.0,4.0,False,True,False,False
160.0,1,7000000.0,6.0,False,False,True,False
110.0,1,5412052.0,4.0,True,False,False,False
115.0,1,5900000.0,6.0,False,False,True,False
115.0,1,6480000.0,6.0,True,False,False,False
165.0,0,6150000.0,6.0,False,False,True,False
140.0,1,5500000.0,5.0,False,False,True,False
165.0,0,5150000.0,6.0,False,False,True,False
160.0,0,5950000.0,6.0,False,False,False,False
180.0,1,6500000.0,6.0,False,False,True,False
170.0,1,5950000.0,6.0,False,False,True,False
140.0,1,6250000.0,6.0,False,False,False,False
140.0,0,6188000.0,6.0,False,True,False,False
170.0,1,8500000.0,6.0,False,False,False,False
250.0,1,15375000.0,6.0,False,False,False,False
175.0,0,7500000.0,6.0,False,False,False,False
165.0,0,6900000.0,5.0,False,True,False,False
175.0,0,7500000.0,6.0,False,False,False,False
155.0,1,6695000.0,6.0,True,False,False,False
170.0,0,8082000.0,6.0,False,True,False,True
155.0,0,6780000.0,6.0,False,True,False,True
160.0,1,7000000.0,6.0,False,False,True,False
170.0,0,6500000.0,6.0,True,False,False,False
170.0,0,7200000.0,6.0,False,False,False,False
155.0,0,5900000.0,6.0,False,False,True,False
165.0,1,5940000.0,6.0,True,False,False,False
127.0,0,9400000.0,6.0,False,True,False,False
165.0,1,6150000.0,6.0,False,False,True,False
165.0,1,6465000.0,6.0,False,True,False,False
155.0,0,6480000.0,6.0,True,False,False,False
235.0,0,12000000.0,8.0,False,False,False,False
165.0,0,5950000.0,6.0,False,False,True,False
145.0,0,7990000.0,6.0,False,True,False,False
140.0,1,5500000.0,5.0,False,False,True,False
140.0,0,7119000.0,6.0,False,True,False,False
110.0,0,4690000.0,4.0,False,False,True,False
160.0,1,7600000.0,5.0,False,False,False,False
170.0,0,6670000.0,6.0,False,False,True,False
235.0,0,10000000.0,7.0,False,False,False,False
165.0,1,6850000.0,6.0,False,False,False,False
160.0,0,13286742.0,6.0,False,True,True,False
145.0,1,6990000.0,6.0,True,False,False,False
159.0,0,7300000.0,6.0,False,False,False,False
167.0,0,6600000.0,6.0,False,False,False,False
170.0,0,11000000.0,5.0,False,False,False,False
165.0,0,9725000.0,6.0,True,False,False,False
170.0,0,11000000.0,6.0,False,False,False,False
235.0,0,7900000.0,6.0,False,False,True,False
180.0,0,6500000.0,6.0,False,False,True,False
170.0,0,5950000.0,6.0,False,False,True,False
174.0,0,8200000.0,6.0,False,False,False,False
175.0,1,8200000.0,6.0,False,False,False,False
235.0,0,10000000.0,8.0,False,False,False,False
165.0,1,6850000.0,6.0,False,False,False,False
140.0,1,6000000.0,4.0,False,False,True,False
110.0,0,7300000.0,4.0,True,False,False,False
165.0,0,9725000.0,6.0,True,False,False,False
160.0,0,10000000.0,6.0,False,False,False,False
165.0,0,6650000.0,6.0,False,False,False,False
160.0,0,7300000.0,6.0,False,False,False,False
170.0,0,7760000.0,5.0,True,False,False,False
165.0,0,6950000.0,6.0,False,False,False,False
140.0,0,6150000.0,5.0,False,False,False,False
235.0,0,8000000.0,6.0,False,False,False,False
160.0,0,13286742.0,6.0,False,True,True,False
160.0,0,13349453.0,6.0,False,True,True,False
145.0,0,6900000.0,6.0,False,True,False,False
145.0,0,5500000.0,5.0,False,False,False,False
154.0,1,6780000.0,6.0,False,True,False,True
165.0,0,7000000.0,6.0,False,False,False,False
180.0,0,7750000.0,6.0,False,False,False,False
160.0,0,7400000.0,6.0,False,False,False,False
132.0,0,6580000.0,5.0,False,False,True,False
132.0,0,6580000.0,5.0,False,False,True,False
132.0,0,6580000.0,5.0,False,False,True,False
132.0,0,6580000.0,5.0,False,False,True,False
132.0,0,6580000.0,5.0,False,False,True,False
140.0,1,9560000.0,7.0,True,False,True,True
140.0,0,6204304.0,6.0,False,True,False,False
155.0,1,8715000.0,6.0,False,True,False,False
165.0,0,6465000.0,6.0,True,False,False,False
170.0,1,7854000.0,6.0,False,True,False,True
170.0,1,8865000.0,6.0,False,True,False,True
140.0,1,6200000.0,5.0,False,False,False,False
160.0,0,6640000.0,6.0,False,True,False,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
135.0,1,7580000.0,5.0,False,False,True,False
145.0,0,6254304.0,6.0,False,True,False,False
165.0,0,5950000.0,6.0,False,False,False,False
140.0,0,5500000.0,6.0,False,False,False,False
140.0,0,5500000.0,6.0,False,False,False,False
165.0,1,6150000.0,6.0,False,False,True,False
165.0,1,5990000.0,6.0,True,False,False,False
140.0,0,6400000.0,6.0,False,False,False,False
145.0,0,6182575.0,6.0,False,True,False,True
165.0,1,7400000.0,6.0,False,False,True,False
205.0,0,12000000.0,7.0,False,False,True,False
160.0,1,7000000.0,6.0,False,False,True,False
170.0,1,7850000.0,6.0,False,False,False,False
125.0,1,10470000.0,4.0,False,False,True,False
140.0,1,5500000.0,5.0,False,False,False,False
180.0,0,7750000.0,6.0,False,False,False,False
174.0,0,7500000.0,6.0,False,True,False,False
70.0,0,3930000.0,2.0,True,False,False,False
155.0,1,5750000.0,6.0,False,False,False,False
125.0,1,5500000.0,3.0,False,False,False,False
